docid,best_match,score
154000517.pdf_107,Solar photovoltaic-toward commoditization.pdf_11,0.671875
174000644.pdf_131,France NPF (EN).pdf_6,0.67578125
174000650.pdf_121,Solar photovoltaic-toward commoditization.pdf_11,0.66796875
17_EDF EN VW_Chambon Puyravault_Livre3_AU2_Dossier Administratif et Technique (1).pdf_1,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_1,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_10,Energy pathways 2050_Key results.pdf_7,0.74609375
2010_-_MEEKHUN.pdf_11,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_23,A-Study-on-Solar-Photovoltaic-Conversion.pdf_1,0.70703125
2010_-_MEEKHUN.pdf_27,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_29,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_32,illustrative_presentation.pdf_7,0.6953125
2010_-_MEEKHUN.pdf_33,11B_4_GIZ17_140_paper_Ajaykumar_Damral_.pdf_2,0.71875
2010_-_MEEKHUN.pdf_34,11B_4_GIZ17_140_paper_Ajaykumar_Damral_.pdf_2,0.71484375
2010_-_MEEKHUN.pdf_35,Renewable_Energy_Resource_Solar_PV_Syste.pdf_2,0.69140625
2010_-_MEEKHUN.pdf_36,Renewable_Energy_Resource_Solar_PV_Syste.pdf_2,0.69140625
2010_-_MEEKHUN.pdf_37,11B_4_GIZ17_140_paper_Ajaykumar_Damral_.pdf_2,0.69921875
2010_-_MEEKHUN.pdf_38,Renewable_Energy_Resource_Solar_PV_Syste.pdf_2,0.67578125
2010_-_MEEKHUN.pdf_41,Renewable_Energy_Resource_Solar_PV_Syste.pdf_2,0.73046875
2010_-_MEEKHUN.pdf_42,11B_4_GIZ17_140_paper_Ajaykumar_Damral_.pdf_2,0.73828125
2010_-_MEEKHUN.pdf_43,illustrative_presentation.pdf_11,0.6875
2010_-_MEEKHUN.pdf_44,11B_4_GIZ17_140_paper_Ajaykumar_Damral_.pdf_2,0.68359375
2010_-_MEEKHUN.pdf_45,A-Study-on-Solar-Photovoltaic-Conversion.pdf_1,0.71484375
2010_-_MEEKHUN.pdf_48,A-Study-on-Solar-Photovoltaic-Conversion.pdf_1,0.65625
2010_-_MEEKHUN.pdf_68,515.pdf_1,0.71484375
2010_-_MEEKHUN.pdf_70,515.pdf_3,0.6953125
2010_-_MEEKHUN.pdf_71,515.pdf_1,0.65234375
2010_-_MEEKHUN.pdf_73,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_75,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_105,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_107,Energy pathways 2050_Key results.pdf_61,1.0078125
2010_-_MEEKHUN.pdf_109,Chapter 5 Notes WSES.pdf_8,0.67578125
2010_-_MEEKHUN.pdf_110,illustrative_presentation.pdf_10,0.6640625
2010_-_MEEKHUN.pdf_111,Chapter 5 Notes WSES.pdf_15,0.72265625
2010_-_MEEKHUN.pdf_112,Chapter 5 Notes WSES.pdf_15,0.6953125
2010_-_MEEKHUN.pdf_114,Chapter 5 Notes WSES.pdf_12,0.6953125
2010_-_MEEKHUN.pdf_121,515.pdf_4,0.67578125
2010_-_MEEKHUN.pdf_130,515.pdf_1,0.6640625
2010_-_MEEKHUN.pdf_131,515.pdf_1,0.671875
