docid,best_match,score
04_Vallee_Sud_Hydrogene.pdf_2,2021-05-en-digest-hydrogene-bfinvest.pdf_3,0.578125
04_Vallee_Sud_Hydrogene.pdf_3,2021-05-en-digest-hydrogene-bfinvest.pdf_4,0.54296875
04_Vallee_Sud_Hydrogene.pdf_4,ENGIEXH2-EN-005.pdf_5,0.5625
04_Vallee_Sud_Hydrogene.pdf_5,Arnaud-de-Limburg-Clean-Hydrogen-The-Projects.pdf_6,0.5546875
04_Vallee_Sud_Hydrogene.pdf_6,2021-05-en-digest-hydrogene-bfinvest.pdf_6,0.498046875
04_Vallee_Sud_Hydrogene.pdf_7,ENGIEXH2-EN-005.pdf_9,0.5625
04_Vallee_Sud_Hydrogene.pdf_8,2021-05-en-digest-hydrogene-bfinvest.pdf_3,0.57421875
04_Vallee_Sud_Hydrogene.pdf_9,Arnaud-de-Limburg-Clean-Hydrogen-The-Projects.pdf_6,0.578125
04_Vallee_Sud_Hydrogene.pdf_10,Arnaud-de-Limburg-Clean-Hydrogen-The-Projects.pdf_6,0.58203125
04_Vallee_Sud_Hydrogene.pdf_11,Arnaud-de-Limburg-Clean-Hydrogen-The-Projects.pdf_6,0.4375
04_Vallee_Sud_Hydrogene.pdf_12,Arnaud-de-Limburg-Clean-Hydrogen-The-Projects.pdf_6,0.50390625
04_Vallee_Sud_Hydrogene.pdf_13,Arnaud-de-Limburg-Clean-Hydrogen-The-Projects.pdf_6,0.5390625
04_Vallee_Sud_Hydrogene.pdf_14,Arnaud-de-Limburg-Clean-Hydrogen-The-Projects.pdf_6,0.44921875
04_Vallee_Sud_Hydrogene.pdf_15,2021-05-en-digest-hydrogene-bfinvest.pdf_6,0.4375
04_Vallee_Sud_Hydrogene.pdf_16,2021-05-en-digest-hydrogene-bfinvest.pdf_6,0.515625
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_1,efs-d1-sanaa-zannane-david-ferguson.pdf_4,0.470703125
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_2,efs-d1-sanaa-zannane-david-ferguson.pdf_4,0.484375
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_3,Homer-Solar-94C-Virtual-Meeting3103.pdf_8,0.47265625
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_4,Chapter 5 Notes WSES.pdf_7,0.458984375
