docid,best_match,score
04_Vallee_Sud_Hydrogene.pdf_2,Attachment3-County-Consultation.pdf_65,0.7941734194755554
04_Vallee_Sud_Hydrogene.pdf_3,AEO2023_LCOE_report.pdf_3,0.7782545685768127
04_Vallee_Sud_Hydrogene.pdf_4,hvdc_systems_gea-31971_lr.pdf_3,0.7764739990234375
04_Vallee_Sud_Hydrogene.pdf_5,Tidal_Energy_V4_WEB.pdf_7,0.7783005237579346
04_Vallee_Sud_Hydrogene.pdf_6,Hu_CCGT.pdf_2,0.7793493270874023
04_Vallee_Sud_Hydrogene.pdf_7,illustrative_presentation.pdf_5,0.7806628942489624
04_Vallee_Sud_Hydrogene.pdf_8,Sustainable-Aviation-Fuel_revise-template.pdf_30,0.7860879898071289
04_Vallee_Sud_Hydrogene.pdf_9,Wind-Observatory-2023.pdf_22,0.7730815410614014
04_Vallee_Sud_Hydrogene.pdf_10,enea-overview-of-the-biomethane-sector-in-france.pdf_50,0.7847790718078613
04_Vallee_Sud_Hydrogene.pdf_11,Energy pathways 2050_Key results.pdf_7,0.79038405418396
04_Vallee_Sud_Hydrogene.pdf_12,2022-10-27-draft-response-document.pdf_224,0.7776135802268982
04_Vallee_Sud_Hydrogene.pdf_13,Energy pathways 2050_Key results.pdf_7,0.7823253870010376
04_Vallee_Sud_Hydrogene.pdf_14,Garve-District-Community-Development-2019-2024.pdf_5,0.7764386534690857
04_Vallee_Sud_Hydrogene.pdf_15,Wind-Observatory-2023.pdf_93,0.7778202295303345
04_Vallee_Sud_Hydrogene.pdf_16,Energy pathways 2050_Key results.pdf_35,0.7761983275413513
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_1,Garve-District-Community-Development-2019-2024.pdf_20,0.7785089612007141
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_2,catalogue_solutions_laboretd_edf_en.pdf_153,0.78189617395401
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_3,FDE-Présentation-Résultats-FY22-Q123_261022-VF.pdf_2,0.7919834852218628
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_4,4pages_PPE_GB_DEF_Web.pdf_1,0.7760565280914307
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_5,AEO2023_LCOE_report.pdf_3,0.7775348424911499
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_6,France NPF (EN).pdf_10,0.7850992679595947
06- Etude de compatibilité GSMR Projet EDF Biard - Les Renardières Vdef.pdf_7,Tidal_Energy_V4_WEB.pdf_0,0.780245304107666
